Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,SVMXC__Service_Group__c,SVMXC__Availability_End_Date__c,SVMXC__Availability_Start_Date__c,SVMXC__Group_Member__c,SVMXC__Select__c,SVMXC__Skill_Level__c,SVMXC__Skill__c,Skill_Level_Text__c
"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","SVMXC__Service_Group__c","SVMXC__Availability_End_Date__c","SVMXC__Availability_Start_Date__c","SVMXC__Group_Member__c","SVMXC__Select__c","SVMXC__Skill_Level__c","SVMXC__Skill__c","Skill_Level_Text__c"
a0p70000000M2hrAAC,FALSE,SGSK-00000174,2011-10-19T20:28:13.000Z,00570000001SvEXAA0,2011-10-19T20:28:13.000Z,00570000001SvEXAA0,2011-10-19T20:28:13.000Z,,a0q70000000LxAnAAK,,,a0m70000002KwSqAAK,FALSE,2,a0y70000000HIEJAA4,Expert
a0p70000000M2h3AAC,FALSE,SGSK-00000173,2011-10-19T20:18:25.000Z,00570000001SvEXAA0,2011-10-19T20:18:25.000Z,00570000001SvEXAA0,2011-10-19T20:18:25.000Z,,a0q70000000LxAsAAK,,,a0m70000002KwRdAAK,FALSE,3,a0y70000000HIEJAA4,Advanced
<<<<<<< .minea0p70000000M28TAAS,FALSE,SGSK-00000172,2011-10-18T17:22:16.000Z,00570000001SvEXAA0,2011-10-19T20:50:20.000Z,00570000001SvEXAA0,2011-10-19T20:50:20.000Z,,a0q70000000LxAsAAK,,,,FALSE,2,a0y70000000HIEJAA4,Intermediate
a0p70000000M5ZiAAK,FALSE,SGSK-00000175,2011-10-24T20:19:03.000Z,00570000001SvEXAA0,2011-10-24T20:19:03.000Z,00570000001SvEXAA0,2011-10-24T20:19:03.000Z,,a0q70000000LxAnAAK,,,a0m70000002L9ITAA0,FALSE,2,a0y70000000HIEJAA4,Intermediate
a0p70000000MY0TAAW,FALSE,SGSK-00000182,2011-12-21T19:13:24.000Z,00570000001SvEXAA0,2011-12-21T19:13:24.000Z,00570000001SvEXAA0,2011-12-21T19:13:24.000Z,,a0q70000000LxAnAAK,,,a0m700000033bUnAAI,FALSE,3,a0y70000000HIEJAA4,Advanced
a0p70000000MlJfAAK,FALSE,SGSK-00000183,2012-01-16T20:43:08.000Z,00570000001SvEXAA0,2012-01-16T20:43:08.000Z,00570000001SvEXAA0,2012-01-16T20:43:08.000Z,,a0q70000000LxAnAAK,,,a0m700000034PhcAAE,FALSE,3,a0y70000000HIEJAA4,Advanced
a0p70000000M1bHAAS,FALSE,SGSK-00000171,2011-10-17T19:52:20.000Z,00570000001SvEXAA0,2011-10-17T19:52:20.000Z,00570000001SvEXAA0,2011-10-17T19:52:20.000Z,,a0q70000000LxAnAAK,,,a0m70000002KnhSAAS,FALSE,1,a0y70000000HIEJAA4,Beginner
a0p70000000LzMbAAK,FALSE,SGSK-00000168,2011-10-13T19:11:35.000Z,00570000001SvEXAA0,2011-10-13T19:11:35.000Z,00570000001SvEXAA0,2011-10-13T19:11:35.000Z,,a0q70000000LxAnAAK,,,a0m70000002KeMDAA0,FALSE,2,a0y70000000HIEJAA4,Intermediate
a0p70000000LzMgAAK,FALSE,SGSK-00000169,2011-10-13T19:12:45.000Z,00570000001SvEXAA0,2011-10-13T19:12:45.000Z,00570000001SvEXAA0,2011-10-13T19:12:45.000Z,,a0q70000000LxAnAAK,,,a0m70000002Ke3cAAC,FALSE,3,a0y70000000HIEJAA4,Advanced
a0p70000000MQDFAA4,FALSE,SGSK-00000177,2011-12-05T20:18:54.000Z,00570000001SvEXAA0,2011-12-05T20:18:54.000Z,00570000001SvEXAA0,2011-12-05T20:18:54.000Z,,a0q70000000LxAnAAK,,,a0m70000002MtdNAAS,FALSE,3,a0y70000000HIEJAA4,Advanced
======="a0p70000000M28TAAS","false","SGSK-00000172","2011-10-18T17:22:16.000Z","00570000001SvEXAA0","2011-10-19T20:50:20.000Z","00570000001SvEXAA0","2011-10-19T20:50:20.000Z",,"a0q70000000LxAsAAK",,,,"false","2.0","a0y70000000HIEJAA4","Intermediate"
"a0p70000000M5ZiAAK","false","SGSK-00000175","2011-10-24T20:19:03.000Z","00570000001SvEXAA0","2011-10-24T20:19:03.000Z","00570000001SvEXAA0","2011-10-24T20:19:03.000Z",,"a0q70000000LxAnAAK",,,"a0m70000002L9ITAA0","false","2.0","a0y70000000HIEJAA4","Intermediate"
"a0p70000000MY0TAAW","false","SGSK-00000182","2011-12-21T19:13:24.000Z","00570000001SvEXAA0","2011-12-21T19:13:24.000Z","00570000001SvEXAA0","2011-12-21T19:13:24.000Z",,"a0q70000000LxAnAAK",,,"a0m700000033bUnAAI","false","3.0","a0y70000000HIEJAA4","Advanced"
